Rank;Imdb;Metascore;Filme;Votos;Ano
466;8.1;; Lúcifer;310,927;2016–2021
467;7.8;68; Apocalypto;309,306;2006
468;7.1;59; Déjà Vu;308,795;2006
469;8.0;; História de Horror Americana;308,420;2011– 
470;7.7;69; E Aí, Meu Irmão, Cadê Você?;308,254;2000
471;7.7;76; Os Indomáveis;307,688;2007
472;7.6;81; Ponte dos Espiões;307,523;2015
473;6.3;68; Vizinhos;307,255;I 2014
474;9.0;; Death Note: Notas da Morte;306,488;2006–2007
475;7.0;60; RED: Aposentados e Perigosos;306,306;2010
476;6.1;51; Jurassic World: Reino Ameaçado;306,286;2018
477;6.6;51; Os Mercenários 2;305,065;2012
478;7.2;65; A.I.: Inteligência Artificial;305,005;2001
479;6.2;45; Busca Implacável 2;304,683;2012
480;6.1;35; Jumper;304,323;2008
481;7.9;80; O Lutador;303,273;2008
482;6.5;39; Piratas do Caribe: A Vingança de Salazar;303,018;2017
483;7.1;65; A Bela e a Fera;302,867;I 2017
484;7.2;56; O Agente da U.N.C.L.E.;302,867;2015
485;6.8;52; Sobrenatural;302,497;I 2010
486;6.1;58; Shrek Terceiro;302,335;2007
487;7.4;99; Moonlight: Sob a Luz do Luar;302,229;I 2016
488;7.1;58; O Nevoeiro;302,113;2007
489;7.1;66; A Escolha Perfeita;301,755;2012
490;6.4;58; O Ditador;301,568;2012
491;6.8;70; Contágio;301,227;2011
492;9.3;; Avatar: A Lenda de Aang;301,185;2005–2008
493;7.5;69; Babel;301,154;I 2006
494;7.2;82; Escola de Rock;301,099;2003
495;6.8;51; Carga Explosiva;300,824;2002
496;7.6;36; Sete Vidas;300,580;2008
497;6.6;61; O Legado Bourne;300,096;2012
498;7.0;70; Inimigos Públicos;299,813;2009
499;8.7;; Caindo na Real;299,329;2003–2019
500;6.2;48; 300: A Ascensão do Império;298,436;2014
501;8.4;; Lei & Desordem;298,035;2013–2021
502;7.9;94; História de um Casamento;297,353;2019
503;8.1;; Orange Is the New Black;297,048;2013–2019
504;7.6;; Anatomia de Grey;296,973;2005– 
505;7.3;87; Hereditário;296,553;2018
506;7.4;95; A Hora Mais Escura;295,567;2012
507;8.5;; Ozark;294,878;2017–2022
508;7.8;74; Serenity: A Luta Pelo Amanhã;294,478;2005
509;7.4;34; Código de Conduta;293,358;2009
510;7.1;72; Midsommar: O Mal Não Espera a Noite;292,897;2019
511;7.2;78; Insônia;292,114;2002
512;7.3;51; O Contador;291,566;2016
513;6.9;51; Quase Irmãos;290,809;2008
514;6.7;48; Anjos e Demônios;290,383;2009
515;8.6;; Filhos da Anarquia;289,948;2008–2014
516;7.8;82; Orgulho & Preconceito;289,529;2005
517;6.8;75; Missão Madrinha de Casamento;289,214;I 2011
518;7.6;76; Os Excêntricos Tenenbaums;288,787;2001
519;7.6;80; Os Incríveis 2;288,134;2018
520;7.0;; À Prova de Morte;287,663;2007
